Code,District,"TOTAL Supply (2010, Af)","Local Groundwater (2010, AF)","Local Surface Water (2010, AF)","Local Desalination (2010, AF)","Local Recycled (2010, AF)","SFRW (2010, AF)","SWP (2010, AF)","Vallejo Permit (2010, AF)","Vallejo Treated (2010, AF)","Napa Treated (2010, AF)","TOTAL USE (2010, AF)","Residential (2010, AF)","Commercial (2010, AF)","Industrial (2010, AF)","Landscape (2010, AF)","Ag (2010, AF)","Institutional (2010, AF)",# Rebate Programs,,,,,
127,"Fortuna, City of",,,,,,,,,,,,,,,,,,,,,,,
128,"Fountain Valley, City of",,,,,,,,,,,,,,,,,,,,,,,
129,"Fresno, City of",,,,,,,,,,,,,,,,,,,,,,,
130,Fruitridge Vista Water Co,,,,,,,,,,,,,,,,,,,,,,,
131,"Fullerton, City of",,,,,,,,,,,,,,,,,,,,,,,
132,"Galt, City of",,,,,,,,,,,,,,,,,,,,,,,
133,"Garden Grove, City of",,,,,,,,,,,,,,,,,,,,,,,
134,Georgetown Divide Public Utility District,,,,,,,,,,,,,,,,,,,,,,,
135,"Gilroy, City of",,,,,,,,,,,,,,,,,,,,,,,
136,"Glendale, City of",,,,,,,,,,,,,,,,,,,,,,,
137,"Glendora, City of",,,,,,,,,,,,,,,,,,,,,,,
138,Golden Hills Community Services District,,,,,,,,,,,,,,,,,,,,,,,
139,Golden State Water Company - Artesia,,,,,,,,,,,,,,,,,,,,,,,
140,Golden State Water Company - Barstow,,,,,,,,,,,,,,,,,,,,,,,
141,Golden State Water Company - Bay Point,,,,,,,,,,,,,,,,,,,,,,,
142,Golden State Water Company - Bell-Bell Gardens,,,,,,,,,,,,,,,,,,,,,,,
143,Golden State Water Company - Claremont,,,,,,,,,,,,,,,,,,,,,,,
144,Golden State Water Company - Cordova,,,,,,,,,,,,,,,,,,,,,,,
145,Golden State Water Company - Cowan Heights,,,,,,,,,,,,,,,,,,,,,,,
146,Golden State Water Company - Culver City,,,,,,,,,,,,,,,,,,,,,,,
147,Golden State Water Company - Florence-Graham,,,,,,,,,,,,,,,,,,,,,,,
148,Golden State Water Company - Norwalk,,,,,,,,,,,,,,,,,,,,,,,
149,Golden State Water Company - Ojai,,,,,,,,,,,,,,,,,,,,,,,
150,Golden State Water Company - Orcutt,,,,,,,,,,,,,,,,,,,,,,,
151,Golden State Water Company - Placentia,,,,,,,,,,,,,,,,,,,,,,,
152,Golden State Water Company - San Dimas,,,,,,,,,,,,,,,,,,,,,,,
153,Golden State Water Company - Simi Valley,,,,,,,,,,,,,,,,,,,,,,,
154,Golden State Water Company - South Arcadia,,,,,,,,,,,,,,,,,,,,,,,
155,Golden State Water Company - South San Gabriel,,,,,,,,,,,,,,,,,,,,,,,
156,Golden State Water Company - Southwest,,,,,,,,,,,,,,,,,,,,,,,
157,Golden State Water Company - West Orange,,,,,,,,,,,,,,,,,,,,,,,
158,Goleta Water District,,,,,,,,,,,,,,,,,,,,,,,
159,Great Oaks Water Company,,,,,,,,,,,,,,,,,,,,,,,
160,Groveland Community Services District,,,,,,,,,,,,,,,,,,,,,,,
161,"Grover Beach, City of",,,,,,,,,,,,,,,,,,,,,,,
162,"Hanford, City of",,,,,,,,,,,,,,,,,,,,,,,
163,"Hawthorne, City of",,,,,,,,,,,,,,,,,,,,,,,
164,"Hayward, City of",,,,,,,,,,,,,,,,,,,,,,,
165,Helix Water District,,,,,,,,,,,,,,,,,,,,,,,
166,"Hemet, City of",,,,,,,,,,,,,,,,,,,,,,,
167,"Hesperia, City of Water District",,,,,,,,,,,,,,,,,,,,,,,
168,Hi-Desert WD,,,,,,,,,,,,,,,,,,,,,,,
169,"Hillsborough, Town of",,,,,,,,,,,,,,,,,,,,,,,
170,Hollister Urban Area,,,,,,,,,,,,,,,,,,,,,,,
171,Humboldt Bay Municipal WD,,,,,,,,,,,,,,,,,,,,,,,
172,Humboldt Community Services District,,,,,,,,,,,,,,,,,,,,,,,
173,"Huntington Beach, City of",,,,,,,,,,,,,,,,,,,,,,,
174,"Huntington Park, City of",,,,,,,,,,,,,,,,,,,,,,,
175,"Imperial, City of",,,,,,,,,,,,,,,,,,,,,,,
176,Indian Wells Valley Water District,,,,,,,,,,,,,,,,,,,,,,,
177,"Indio, City of",,,,,,,,,,,,,,,,,,,,,,,
178,Indio Water Authority,,,,,,,,,,,,,,,,,,,,,,,
179,"Inglewood, City of",,,,,,,,,,,,,,,,,,,,,,,
180,Inland Empire Utilities Agency,,,,,,,,,,,,,,,,,,,,,,,
181,Irvine Ranch Water District,,,,,,,,,,,,,,,,,,,,,,,
182,Joshua Basin Water District,,,,,,,,,,,,,,,,,,,,,,,
183,Jurupa Community Services District,,,,,,,,,,,,,,,,,,,,,,,
184,"Kerman, City of",,,,,,,,,,,,,,,,,,,,,,,
185,Kern County Water Agency Improvement District No 4,,,,,,,,,,,,,,,,,,,,,,,
186,"La Habra, City of",,,,,,,,,,,,,,,,,,,,,,,
187,"La Palma, City of",,,,,,,,,,,,,,,,,,,,,,,
188,"La Verne, City of",,,,,,,,,,,,,,,,,,,,,,,
189,Laguna Beach County Water District,,,,,,,,,,,,,,,,,,,,,,,
190,Lake Arrowhead Community Services District,,,,,,,,,,,,,,,,,,,,,,,
191,Lake Hemet Municipal Water District,,,,,,,,,,,,,,,,,,,,,,,
192,Lakeside Water District,,,,,,,,,,,,,,,,,,,,,,,
193,"Lakewood, City of",,,,,,,,,,,,,,,,,,,,,,,
194,Lamont Public Utility District,,,,,,,,,,,,,,,,,,,,,,,
195,Las Virgenes Water District,,,,,,,,,,,,,,,,,,,,,,,
196,"Lemoore, City of",,,,,,,,,,,,,,,,,,,,,,,
197,"Lincoln, City of",,,,,,,,,,,,,,,,,,,,,,,
198,Lincoln Avenue Water Company,,,,,,,,,,,,,,,,,,,,,,,
199,Linda County Water District,,,,,,,,,,,,,,,,,,,,,,,
200,"Livermore, City of",,,,,,,,,,,,,,,,,,,,,,,
201,"Livermore, City of Division of Water Resources",,,,,,,,,,,,,,,,,,,,,,,
202,"Lodi, City of",,,,,,,,,,,,,,,,,,,,,,,
203,"Loma Linda, City of",,,,,,,,,,,,,,,,,,,,,,,
204,"Lomita, City of",,,,,,,,,,,,,,,,,,,,,,,
205,"Lompoc, City of",,,,,,,,,,,,,,,,,,,,,,,
206,Long Beach Water Department,,,,,,,,,,,,,,,,,,,,,,,
207,Los Angeles County Water District #29,,,,,,,,,,,,,,,,,,,,,,,
208,Los Angeles County Water District #40,,,,,,,,,,,,,,,,,,,,,,,
209,Los Angeles Department of Water and Power,,,,,,,,,,,,,,,,,,,,,,,
210,"Los Banos, City of",,,,,,,,,,,,,,,,,,,,,,,
211,"Lynwood, City of",,,,,,,,,,,,,,,,,,,,,,,
212,"Madera, City of",,,,,,,,,,,,,,,,,,,,,,,
213,Mammoth Community Water District,,,,,,,,,,,,,,,,,,,,,,,
214,"Manhattan Beach, City of",,,,,,,,,,,,,,,,,,,,,,,
215,Marin Municipal Water District,,,,,,,,,,,,,,,,,,,,,,,
216,Marina Coast Water District,,,,,,,,,,,,,,,,,,,,,,,
217,"Martinez, City of",,,,,,,,,,,,,,,,,,,,,,,
218,McKinleyville Community Services District,,,,,,,,,,,,,,,,,,,,,,,
219,"Menlo Park, City of",,,,,,,,,,,,,,,,,,,,,,,
220,"Merced, City of",,,,,,,,,,,,,,,,,,,,,,,
221,Mesa Consolidated Water District,,,,,,,,,,,,,,,,,,,,,,,
222,Metropolitan Water District of Southern California,,,,,,,,,,,,,,,,,,,,,,,
223,Mid-Peninsula Water District,,,,,,,,,,,,,,,,,,,,,,,
224,"Millbrae, City of",,,,,,,,,,,,,,,,,,,,,,,
225,"Milpitas, City of",,,,,,,,,,,,,,,,,,,,,,,
226,Mission Springs Water District,,,,,,,,,,,,,,,,,,,,,,,
227,"Modesto, City of",,,,,,,,,,,,,,,,,,,,,,,
228,Modesto Irrigation District,,,,,,,,,,,,,,,,,,,,,,,
229,Mojave Water Agency,,,,,,,,,,,,,,,,,,,,,,,
230,"Monrovia, City of",,,,,,,,,,,,,,,,,,,,,,,
231,Monte Vista Water District,,,,,,,,,,,,,,,,,,,,,,,
232,Montebello Land and Water Company,,,,,,,,,,,,,,,,,,,,,,,
233,"Morgan Hill, City of",,,,,,,,,,,,,,,,,,,,,,,
234,"Morro Bay, City of",,,,,,,,,,,,,,,,,,,,,,,
235,Moulton Niguel Water District,,,,,,,,,,,,,,,,,,,,,,,
236,"Mountain View, City of",,,,,,,,,,,,,,,,,,,,,,,
237,Municipal Water District of Orange County,,,,,,,,,,,,,,,,,,,,,,,
238,"Napa, City of",,,,,,,,,,,,,,,,,,,,,,,
239,Nevada Irrigation District,,,,,,,,,,,,,,,,,,,,,,,
240,Newhall County Water District,,,,,,,,,,,,,,,,,,,,,,,
241,"Newport Beach, City of",,,,,,,,,,,,,,,,,,,,,,,
242,Nipomo Community Services District,,,,,,,,,,,,,,,,,,,,,,,
243,North Coast County Water District,,,,,,,,,,,,,,,,,,,,,,,
244,North Marin Sonoma Alliance,,,,,,,,,,,,,,,,,,,,,,,
245,North Marin Water District,,,,,,,,,,,,,,,,,,,,,,,
