"","sp.pwsid","sp.name","dat.pwsid","dat.name"
"200","3310008","MISSION SPRINGS WD","3310008","Mission Springs Water District"
"201","3310009","EASTERN MUNICIPAL WD","3310009","Eastern Municipal Water District"
"202","3310012","ELSINORE VALLEY MWD","3310012","Elsinore Valley Municipal Water District"
"203","3310016","HEMET, CITY OF","3310016","Hemet, City of"
"204","3310020","INDIO WATER AUTHORITY","3310020","Indio, City of"
"205","3310021","JURUPA COMMUNITY SD","3310021","Jurupa Community Services District"
"206","3310022","LAKE HEMET MWD","3310022","Lake Hemet Municipal Water District"
"207","3310031","RIVERSIDE, CITY OF","3310031","Riverside, City of"
"208","3310032","SAN JACINTO, CITY OF","3310032","San Jacinto, City of"
"209","3310037","CORONA, CITY OF","3310037","Corona, City of"
"210","3310038","RANCHO CALIFORNIA WATER DISTRICT","3310038","Rancho California Water District"
"211","3310044","RUBIDOUX COMMUNITY SD","3310044","Rubidoux Community Services District"
"212","3310049","WESTERN MWD","3310049","Western Municipal Water District of Riverside"
"213","3410001","SACRAMENTO SUBURBAN WATER DISTRICT","3410001","Sacramento Suburban Water District"
"214","3410002","SCWA - ARDEN PARK VISTA","3410002","Sacramento County Water Agency"
"215","3410004","CARMICHAEL WATER DISTRICT","3410004","Carmichael Water District"
"216","3410006","CITRUS HEIGHTS WATER DISTRICT","3410006","Citrus Heights Water District"
"217","3410008","ELK GROVE WATER SERVICE","3410008","Elk Grove Water District"
"218","3410009","FAIR OAKS WATER DISTRICT","3410009","Fair Oaks Water District"
"219","3410011","GALT, CITY OF","3410011","Galt, City of"
"220","3410012","CALAM - ISLETON","3410012","CA-American Water - Sacramento"
"221","3410014","FOLSOM, CITY OF - MAIN","3410014","Folsom, City of"
"222","3410015","GOLDEN STATE WATER CO. - CORDOVA","3410015","Golden State Water Company - Cordova"
"223","3410016","ORANGE VALE WATER COMPANY","3410016","Orange Vale Water Company"
"224","3410018","RIO LINDA/ELVERTA COMMUNITY WATER DIST","3410018","Rio Linda - Elverta Community Water District"
"225","3410020","CITY OF SACRAMENTO MAIN","3410020","Sacramento, City of"
"226","3410021","SAN JUAN WATER DISTRICT","3410021","San Juan Water District"
"227","3410023","FRUITRIDGE VISTA WATER COMPANY","3410023","Fruitridge Vista Water Co"
"228","3510001","HOLLISTER, CITY OF","3510001","Hollister Urban Area"
"229","3510003","SUNNYSLOPE COUNTY WATER DIST","3510003","Sunny Slope County Water District"
"230","3610001","CITY OF ADELANTO","3610001","Adelanto, City of"
"231","3610003","APPLE VALLEY RANCHOS WC","3610003","Apple Valley Ranchos Water Company"
"232","3610004","WEST VALLEY WATER DISTRICT","3610004","West Valley Water District"
"233","3610008","BIG BEAR CITY CSD","3610008","Big Bear Community Services District"
"234","3610012","CITY OF CHINO","3610012","Chino, City of"
"235","3610013","CITY OF LOMA LINDA","3610013","Loma Linda, City of"
"236","3610014","CITY OF COLTON","3610014","Colton, City of"
"237","3610015","CRESTLINE VILLAGE CWD - DIVISION 10","3610015","Crestline Village Water District"
"238","3610018","CUCAMONGA VALLEY WATER DISTRICT","3610018","Cucamonga Valley Water District"
"239","3610019","SAN BERNARDINO VALLEY WD","3610019","San Bernardino Valley Regional Urban Water Management Alliance"
"240","3610024","HESPERIA WD","3610024","Hesperia, City of Water District"
"241","3610025","JOSHUA BASIN WATER DISTRICT","3610025","Joshua Basin Water District"
"242","3610029","MONTE VISTA CWD","3610029","Monte Vista Water District"
"243","3610034","ONTARIO MUNICIPAL UTILITIES COMPANY","3610034","Ontario, City of"
"244","3610036","CITY OF CHINO HILLS","3610036","Chino Hills, City of"
"245","3610037","REDLANDS CITY MUD-WATER DIV","3610037","Redlands, City of"
"246","3610038","RIALTO-CITY","3610038","Rialto, City of"
"247","3610039","SAN BERNARDINO CITY","3610039","San Bernardino, City of"
"248","3610043","GOLDEN STATE WATER CO - BARSTOW","3610043","Golden State Water Company - Barstow"
"249","3610045","DWP - RIMFOREST","3610045","Big Bear Lake, City of"
"250","3610049","TWENTYNINE PALMS WATER DIST","3610049","Twentynine Palms Water District"
"251","3610050","CITY OF UPLAND","3610050","Upland, City of"
"252","3610052","VICTORVILLE WATER DISTRICT","3610052","Victorville Water District"
"253","3610055","YUCAIPA VALLEY WD","3610055","Yucaipa Valley Water District"
"254","3610057","RIVERSIDE HIGHLAND WATER CO","3610057","Riverside Highland Water Company"
"255","3610064","EAST VALLEY WATER DISTRICT","3610064","East Valley Water District"
"256","3610073","HI DESERT WD","3610073","Hi-Desert WD"
"257","3610120","PHELAN PINON HILLS CSD","3610120","Phelan Pinon Hills Community Services District"
"258","3610121","SBDNO COUNTY SERVICE AREA 64","3610121","San Bernardino County Service Area 64"
"259","3710001","CALIFORNIA-AMERICAN WATER CO","3710001","CA-American Water - San Diego"
"260","3710002","VALLECITOS WD","3710002","Vallecitos Water District"
"261","3710005","CARLSBAD MWD","3710005","Carlsbad Municipal Water District"
"262","3710006","ESCONDIDO, CITY OF","3710006","Escondido, City of"
"263","3710008","FALLBROOK PUD","3710008","Fallbrook PUD"
"264","3710010","HELIX WATER DISTRICT","3710010","Helix Water District"
"265","3710013","LAKESIDE WD","3710013","Lakeside Water District"
"266","3710014","OCEANSIDE, CITY OF","3710014","Oceanside, City of"
"267","3710015","POWAY - CITY OF","3710015","Poway, City of"
"268","3710016","RAINBOW MUNICIPAL WD","3710016","Rainbow Municipal Water District"
"269","3710019","RAMONA MUNICIPAL WD","3710019","Ramona Municipal Water District"
"270","3710020","SAN DIEGO - CITY OF","3710020","San Diego, City of"
"271","3710021","SAN DIEGUITO WD","3710021","San Dieguito Water District"
"272","3710023","SANTA FE I.D.","3710023","Santa Fe Irrigation District"
"273","3710025","SWEETWATER AUTHORITY","3710025","Sweetwater Authority"
"274","3710026","VALLEY CENTER MWD","3710026","Valley Center Municipal Water District"
"275","3710027","VISTA IRRIGATION DISTRICT","3710027","Vista Irrigation District"
"276","3710029","OLIVENHAIN MWD","3710029","Olivenhain, City of"
"277","3710034","OTAY WATER DISTRICT","3710034","Otay Water District"
"278","3710037","PADRE DAM MWD","3710037","Padre Dam Municipal Water District"
"279","3710042","SAN DIEGO COUNTY WATER AUTHORITY","3710042","San Diego County Water Authority"
"280","3710044","RINCON DEL DIABLO MWD (ID-A)","3710044","Rincon del Diablo Municipal Water District"
"281","3810011","SFPUC CITY DISTRIBUTION DIVISION","3810011","San Francisco Public Utilities Commission"
"282","3910001","CALIFORNIA WATER SERVICE - STOCKTON","3910001","CA Water Sercice Co - Stockton"
"283","3910004","LODI, CITY OF","3910004","Lodi, City of"
"284","3910006","STOCKTON EAST WATER DISTRICT","3910006","Stockton East Water District"
"285","3910011","TRACY, CITY OF","3910011","Tracy, City of"
"286","3910012","CITY OF STOCKTON","3910012","Stockton, City of"
"287","4010001","ARROYO GRANDE, WATER DEPARTMENT","4010001","Arroyo Grande, City of"
"288","4010004","GROVER BEACH WATER DEPARTMENT","4010004","Grover Beach, City of"
"289","4010007","PASO ROBLES WATER DEPARTMENT","4010007","Paso Robles, City of"
"290","4010008","PISMO BEACH WATER DEPARTMENT","4010008","Pismo Beach, City of"
"291","4010009","SAN LUIS OBISPO WATER DEPARTMENT","4010009","San Luis Obispo, City of"
"292","4010011","MORRO BAY WATER DEPARTMENT","4010011","Morro Bay, City of"
"293","4010014","CAMBRIA COMM SERVICES DIST","4010014","Cambria Community Services District"
"294","4010026","NIPOMO COMM SERVICES DIST","4010026","Nipomo Community Services District"
"295","4110001","MID-PENINSULA WATER DISTRICT","4110001","Mid-Peninsula Water District"
"296","4110003","CITY OF BURLINGAME","4110003","Burlingame, City of"
"297","4110006","CALIFORNIA WATER SERVICE - BEAR GULCH","4110006","CA Water Service Co - Bear Gulch"
"298","4110008","CALIFORNIA WATER SERVICE - SAN MATEO","4110008","CA Water Service Co - Mid Peninsula District"
"299","4110009","CALIFORNIA WATER SERVICE-S SAN FRANCISCO","4110009","CA Water Service Co - South San Francisco"
"300","4110011","COASTSIDE COUNTY WATER DISTRICT","4110011","Coastside Co Water District"
"301","4110013","CITY OF DALY CITY","4110013","Daly City, City of"
"302","4110016","HILLSBOROUGH WATER DEPT.","4110016","Hillsborough, Town of"
"303","4110017","CITY OF MENLO PARK","4110017","Menlo Park, City of"
"304","4110018","CITY OF MILLBRAE","4110018","Millbrae, City of"
"305","4110021","ESTERO MUNICIPAL IMPROVEMENT DISTRICT","4110021","Estero Municipal-Foster City"
"306","4110022","CITY OF REDWOOD CITY","4110022","Redwood City, City of"
"307","4110023","CITY OF SAN BRUNO","4110023","San Bruno, City of"
"308","4110024","CITY OF EAST PALO ALTO","4110024","East Palo Alto, City of"
"309","4110025","NORTH COAST COUNTY WATER DIST","4110025","North Coast County Water District"
"310","4110027","WESTBOROUGH COUNTY WATER DIST","4110027","Westborough Water District"
"311","4210001","CARPINTERIA VALLEY WATER DISTRICT","4210001","Carpenteria Valley Water District"
"312","4210004","GOLETA WATER DISRICT","4210004","Goleta Water District"
"313","4210006","LOMPOC-CITY WATER UTILITY DIV","4210006","Lompoc, City of"
"314","4210010","CITY OF SANTA BARBARA WATER DEPARTMENT","4210010","Santa Barbara, City of"
"315","4210011","SANTA MARIA WATER DEPARTMENT","4210011","Santa Maria, City of"
"316","4210016","GOLDEN STATE WATER COMPANY - ORCUTT","4210016","Golden State Water Company - Orcutt"
"317","4310001","CWSC LOS ALTOS SUBURBAN","4310001","Ca Water Service Co - Los Altos Suburban District"
"318","4310004","CITY OF GILROY","4310004","Gilroy, City of"
"319","4310005","CITY OF MILPITAS","4310005","Milpitas, City of"
"320","4310006","CITY OF MORGAN HILL","4310006","Morgan Hill, City of"
"321","4310007","CITY OF MOUNTAIN VIEW","4310007","Mountain View, City of"
"322","4310009","CITY OF PALO ALTO","4310009","Palo Alto, City of"
"323","4310011","SAN JOSE WATER COMPANY","4310011","San Jose Water Company"
"324","4310012","CITY OF SANTA CLARA","4310012","Santa Clara, City of"
"325","4310014","CITY OF SUNNYVALE","4310014","Sunnyvale, City of"
"326","4310020","CITY OF SAN JOSE - EVG/EDV/COY","4310020","San Jose, City of"
"327","4310022","GREAT OAKS WC, INC.","4310022","Great Oaks Water Company"
"328","4310027","SANTA CLARA VALLEY WATER DISTRICT","4310027","Santa Clara Valley Water District"
"329","4410010","SANTA CRUZ WATER DEPARTMENT","4410010","Santa Cruz, City of"
"330","4410011","WATSONVILLE, CITY OF","4410011","Watsonville, City of"
"331","4410013","SCOTTS VALLEY WATER DISTRICT","4410013","Scotts Valley Water District"
"332","4410017","SOQUEL CREEK WATER DISTRICT","4410017","Soquel Creek Water District"
"333","4510005","CITY OF REDDING","4510005","Redding, City of"
"334","4510006","CITY OF SHASTA LAKE","4510006","Shasta Lake, City of"
"335","4510014","BELLA VISTA WATER DISTRICT","4510014","Bella Vista Water District"
"336","4710011","CITY OF YREKA","4710011","Yreka, City of"
"337","4810001","CITY OF BENICIA","4810001","Benecia, City of"
"338","4810002","CALIFORNIA WATER SERVICE CO. - DIXON","4810002","CA Water Service Co - Dixon District"
"339","4810003","CITY OF FAIRFIELD","4810003","Fairfield, City of"
"340","4810004","CITY OF RIO VISTA","4810004","Rio Vista, City of"
"341","4810007","CITY OF VALLEJO","4810007","Vallejo, City of"
"342","4810008","CITY OF VACAVILLE","4810008","Vacaville, City of"
"343","4910004","SWEETWATER SPRINGS CWD - GUERNEVILLE","4910004","Sweetwater Springs Water District"
"344","4910006","PETALUMA, CITY OF","4910006","Petaluma, City of"
"345","4910009","SANTA ROSA, CITY OF","4910009","Santa Rosa, City of"
"346","4910012","SONOMA, CITY OF","4910012","Sonoma, City of"
"347","4910013","VALLEY OF THE MOON WATER DISTRICT","4910013","Valley of the Moon Water District"
"348","4910014","ROHNERT PARK, CITY OF","4910014","Rohnert Park, City of"
