"","pwsid","district","severity","simpson","ground","surf","imported","recycled","desal","tot.source","propground","propsurf","propdesal","proprecyc","propbank","propimport","casgem","adj","totgpcd15","rgpcd15","totgpcd10","rgpcd10","changetot","changer","medinc","buyertier","sellertier","buyers","sellers","region"
"51",1510022,"West Kern Water District",216.2163333,0,0,0,5,0,0,5,0,0,0,0,0,1,"22.5,0.0","0,0",624.4,68.68409689,734,113,-14.93,-39,43.203,0,2,0,5,"North"
"53",1510029,"Vaughn Water Company",217.0267,0,1,0,0,0,0,1,1,0,0,0,0,0,"22.5","0",287.51,276.0087177,367,353,-21.66,-22,92.5115,NA,NA,NA,NA,"North"
"54",1510031,"Bakersfield, City of",217.0267,0.212914089,1,0,2,0,0,3,0.878870632,0,0,0,0,0.121129368,"22.5","0",211.57,164.6662066,240,176,-11.85,-6,68.75,0,3,0,2,"North"
"57",1510049,"CA Water Service Co - Kern River Vly",214.3257,0.340042178,1,1,0,0,0,2,0.78280543,0.21719457,0,0,0,0,"0","0",109.29,99.67649016,145,129,-24.62,-23,19.211,NA,NA,NA,NA,"North"
"58",1610003,"Hanford, City of",217.0267,0,1,0,0,0,0,1,1,0,0,0,0,0,"22.25,26.5","0,0",181.96,124.3134047,278,136,-34.55,-9,46.875,NA,NA,NA,NA,"North"
"59",1610005,"Lemoore, City of",217.0267,0,0,0,0,0,0,0,0,0,0,0,0,0,"22.25","0",224.93,92.21925633,290,180,-22.44,-49,50.0565,NA,NA,NA,NA,"North"
"60",1810001,"Susanville, City of",191.9662,0.655108253,3,0,0,0,0,3,1,0,0,0,0,0,"0","0",255.07,191.9914666,333,232,-23.4,-17,44.864,NA,NA,NA,NA,"North"
"61",1910001,"Alhambra, City of",195.9725,0,0,0,0,0,0,0,0,0,0,0,0,0,"21.25","1",95.31,95.30740494,98,98,-2.75,-3,54.08,NA,NA,NA,NA,"South"
"62",1910003,"Arcadia, City of",194.8976,0.406597754,2,0,1,0,0,3,0.981896443,0,0,0,0,0.018103557,"21.25,20.75","1,1",209.16,161.0555665,232,176,-9.84,-8,80.37,0,2,0,1,"South"
"63",1910004,"Golden State Water Company - Artesia",193.8227,0.147979121,1,0,1,1,0,3,0.920363442,0,0,0.009976839,0,0.069659719,"24.75","1",93.06,67.56351941,97,72,-4.06,-6,72.4825,0,4,0,1,"South"
"64",1910007,"Azusa, City of",193.8227,0.359337881,1,1,0,0,0,2,0.765200037,0.234799963,0,0,0,0,"21.25","1",138.34,74.70351005,149,80,-7.15,-7,52.206,NA,NA,NA,NA,"South"
"65",1910011,"Golden State Water Company - Bell-Bell Gardens",195.9725,0.069634414,1,0,1,1,0,3,0.96399775,0,0,0.024376524,0,0.011438215,"24.75","1",71.37,53.24415366,74,54,-3.55,-1,36.6885,0,3,0,1,"South"
"66",1910013,"Bellflower-Somerset Mutual Water Company",193.8227,0,0,0,0,0,0,0,0,0,0,0,0,0,"24.75","1",90.05,77.44494614,95,82,-5.21,-6,54.522,NA,NA,NA,NA,"South"
"68",1910019,"Cerritos, City of",193.8227,0.313951942,1,0,1,1,0,3,0.81168265,0,0,0.163034002,0,0.025283348,"0.0,24.75","0,1",126.32,109.8967614,142,124,-11.04,-11,84.474,1,3,1,1,"South"
"69",1910024,"Golden State Water Company - Claremont",151.22935,0.52246128,2,0,1,0,0,3,0.546421846,0,0,0,0,0.453578154,"21.25,0.0","1,1",193.11,131.5076464,215,137,-10.18,-4,68.1105,0,3,0,1,"South"
"70",1910026,"Compton, City of",195.9725,0.413073853,1,0,1,0,0,2,0.708477993,0,0,0,0,0.291522007,"24.75","1",76.4,53.47762964,79,54,-3.3,-1,44.455,0,2,0,1,"South"
"71",1910027,"Los Angeles County Water District #40",91.0842,0,0,0,0,0,0,0,0,0,0,0,0,0,"15.75,21.5","1,0",165.95,127.7795805,202,156,-17.85,-18,35.0385,NA,NA,NA,NA,"South"
"72",1910028,"Crescenta Valley Water District",195.9725,0.47544247,1,0,1,0,0,2,0.610809588,0,0,0,0,0.389190412,"19.75","1",102.02,89.78161421,106,94,-3.75,-4,92.4505,0,3,0,1,"South"
"73",1910030,"Golden State Water Company - Culver City",196,0,0,0,1,0,0,1,0,0,0,0,0,1,"20.75,24.75,19.25","1,1,0",121.82,67.12076402,125,70,-2.55,-4,74.5455,0,3,0,1,"South"
"75",1910033,"CA Water Service Co - Dominguez District",195.98625,0.52980485,1,0,1,1,0,3,0.228843639,0,0,0.140135038,0,0.631021323,"20.75,24.75","1,1",196.41,77.18822806,215,69,-8.65,12,67.727,0,3,0,1,"South"
"76",1910034,"Downey, City of",194.8976,0.083714266,1,0,0,1,0,2,0.956226771,0,0,0.043773229,0,0,"24.75","1",109.95,82.13180613,117,87,-6.03,-6,61.6655,NA,NA,NA,NA,"South"
"77",1910036,"CA Water Service Co - East Los Angeles District",195.9725,0.498214998,1,0,1,0,0,2,0.470125241,0,0,0,0,0.529874759,"24.75","1",80.89,42.22314979,83,45,-2.55,-6,42.5,0,3,0,1,"South"
"78",1910038,"El Monte, City of",195.9725,0,1,0,0,0,0,1,1,0,0,0,0,0,"21.25","1",82.69,50.35808427,99,61,-16.47,-17,40.867,NA,NA,NA,NA,"South"
"79",1910041,"Three Valleys Municipal Water District",151.22935,0,0,0,1,0,0,1,0,0,0,0,0,1,"0.0,21.25,0.0","0,1,1",166.11,116.6895181,181,125,-8.23,-7,68.9685,2,2,7,1,"South"
"80",1910042,"Pico Rivera, City of",194.8976,0.010284535,1,0,0,1,0,2,0.995028833,0,0,0.005170014,0,0,"24.75,21.25","1,1",100.71,65.46442367,106,78,-4.99,-16,61.008,NA,NA,NA,NA,"South"
"81",1910043,"Glendale, City of",195.9725,0.565911079,2,0,1,1,0,4,0.349571429,0,0,0.059357143,0,0.591071429,"20.75,19.75","1,1",105.41,73.78430115,108,86,-2.4,-14,59.643,0,2,0,1,"South"
