"pwsname","pwsid","severity"
"Chino, City of",3610012,100.2464
"Loma Linda, City of",3610013,100.2464
"Colton, City of",3610014,100.2464
"Crestline Village Water District",3610015,34.6047
"Cucamonga Valley Water District",3610018,100.2464
"San Bernardino Valley Regional Urban Water Management Alliance",3610019,67.42555
"Hesperia, City of Water District",3610024,34.6047
"Joshua Basin Water District",3610025,-36.4271
"Monte Vista Water District",3610029,100.2464
"Ontario, City of",3610034,100.2464
"Chino Hills, City of",3610036,140.06585
"Redlands, City of",3610037,100.2464
"Rialto, City of",3610038,100.2464
"San Bernardino, City of",3610039,100.2464
"Golden State Water Company - Barstow",3610043,34.6047
"Big Bear Lake, City of",3610045,34.6047
"Twentynine Palms Water District",3610049,-36.4271
"Upland, City of",3610050,100.2464
"Victorville Water District",3610052,34.6047
"Yucaipa Valley Water District",3610055,100.2464
"Riverside Highland Water Company",3610057,100.2464
"East Valley Water District",3610064,100.2464
"Hi-Desert WD",3610073,-24.22565
"Phelan Pinon Hills Community Services District",3610120,84.62435
"San Bernardino County Service Area 64",3610121,34.6047
"CA-American Water - San Diego",3710001,88.33035
"Vallecitos Water District",3710002,86.3292
"Carlsbad Municipal Water District",3710005,86.3292
"Escondido, City of",3710006,90.55415
"Fallbrook PUD",3710008,92.8041333333333
"Helix Water District",3710010,94.7791
"Lakeside Water District",3710013,94.7791
"Oceanside, City of",3710014,86.3292
"Poway, City of",3710015,94.7791
"Rainbow Municipal Water District",3710016,83.01295
"Ramona Municipal Water District",3710019,94.7791
"San Diego, City of",3710020,88.33035
"San Dieguito Water District",3710021,86.3292
"Santa Fe Irrigation District",3710023,90.55415
"Sweetwater Authority",3710025,94.7791
"Valley Center Municipal Water District",3710026,90.55415
"Vista Irrigation District",3710027,86.3292
"Olivenhain, City of",3710029,90.55415
"Otay Water District",3710034,88.33035
"Padre Dam Municipal Water District",3710037,94.7791
"San Diego County Water Authority",3710042,87.6632999999999
"Rincon del Diablo Municipal Water District",3710044,94.7791
"San Francisco Public Utilities Commission",3810011,129.303833333333
"CA Water Sercice Co - Stockton",3910001,178.717325
"Lodi, City of",3910004,177.5398
"Stockton East Water District",3910006,178.717325
"Tracy, City of",3910011,173.4248
"Stockton, City of",3910012,178.717325
"Arroyo Grande, City of",4010001,174.4465
"Grover Beach, City of",4010004,174.4465
"Paso Robles, City of",4010007,197.44235
"Pismo Beach, City of",4010008,174.4465
"San Luis Obispo, City of",4010009,189.777066666667
"Morro Bay, City of",4010011,174.4465
"Cambria Community Services District",4010014,174.4465
"Nipomo Community Services District",4010026,187.6013
"Mid-Peninsula Water District",4110001,151.6393
"Burlingame, City of",4110003,151.6393
"CA Water Service Co - Bear Gulch",4110006,146.8828
"CA Water Service Co - Mid Peninsula District",4110008,151.6393
"CA Water Service Co - South San Francisco",4110009,143.5011
"Coastside Co Water District",4110011,135.3629
"Daly City, City of",4110013,143.5011
"Hillsborough, Town of",4110016,151.6393
"Menlo Park, City of",4110017,146.8828
"Millbrae, City of",4110018,151.6393
"Estero Municipal-Foster City",4110021,151.6393
"Redwood City, City of",4110022,146.8828
"San Bruno, City of",4110023,143.5011
"East Palo Alto, City of",4110024,146.8828
"North Coast County Water District",4110025,135.3629
"Westborough Water District",4110027,143.5011
"Carpenteria Valley Water District",4210001,198.0535
"Goleta Water District",4210004,198.0535
